Datetime,time,High,Low,Close,Adj Close,Volume
7/5/2022,09:30:00-04:00,256.5100098,254.7400055,255.1100006,255.1100006,1294628
7/5/2022,09:35:00-04:00,255.9600067,254.8699951,254.8999939,254.8999939,358480
7/5/2022,09:40:00-04:00,255.4799957,254.8099976,254.9700012,254.9700012,300371
7/5/2022,09:45:00-04:00,256.8754883,254.7799988,256.5899963,256.5899963,505525
7/5/2022,09:50:00-04:00,256.6400146,255.8699951,256.2999878,256.2999878,389552
7/5/2022,09:55:00-04:00,256.8099976,255.5299988,256.1900024,256.1900024,382976
7/5/2022,10:00:00-04:00,256.8699036,255.5599976,255.6699982,255.6699982,337151
7/5/2022,10:05:00-04:00,256.6300049,255.5682983,256.5799866,256.5799866,203803
7/5/2022,10:10:00-04:00,257.7709045,256.3601074,257.7099915,257.7099915,416150
7/5/2022,10:15:00-04:00,257.7799988,256.1799927,256.4700012,256.4700012,298892
7/5/2022,10:20:00-04:00,257.230011,256.3800049,257.0599976,257.0599976,266147
7/5/2022,10:25:00-04:00,257.3699951,256.3399963,256.8599854,256.8599854,201933
7/5/2022,10:30:00-04:00,257.0599976,256.4100037,256.75,256.75,192532
7/5/2022,10:35:00-04:00,258.4599915,256.5849915,258.3900146,258.3900146,310239
7/5/2022,10:40:00-04:00,258.7799988,257.6700134,257.6849976,257.6849976,237076
7/5/2022,10:45:00-04:00,257.7799988,257.2000122,257.5299988,257.5299988,163882
7/5/2022,10:50:00-04:00,257.4949951,256.769989,257.0700073,257.0700073,139946
7/5/2022,10:55:00-04:00,257.5499878,257.0599976,257.230011,257.230011,115095
7/5/2022,11:00:00-04:00,257.2099915,256.4707031,256.7999878,256.7999878,173646
7/5/2022,11:05:00-04:00,256.7999878,256.0660095,256.3500061,256.3500061,145820
7/5/2022,11:10:00-04:00,256.519989,255.9499969,256.2900085,256.2900085,107107
7/5/2022,11:15:00-04:00,256.6000061,256.1600037,256.4450073,256.4450073,115617
7/5/2022,11:20:00-04:00,256.7200012,256.0599976,256.2000122,256.2000122,118975
7/5/2022,11:25:00-04:00,256.5899963,256.0899963,256.3999939,256.3999939,118140
7/5/2022,11:30:00-04:00,257.0700073,256.1900024,256.6099854,256.6099854,145744
7/5/2022,11:35:00-04:00,256.730011,256.2099915,256.3800049,256.3800049,113402
7/5/2022,11:40:00-04:00,257.6199951,256.4100037,257.519989,257.519989,179073
7/5/2022,11:45:00-04:00,258.1000061,257.4400024,257.8387146,257.8387146,175974
7/5/2022,11:50:00-04:00,257.9100037,257.3599854,257.8800049,257.8800049,182524
7/5/2022,11:55:00-04:00,257.8999939,257.2799988,257.3900146,257.3900146,240991
7/5/2022,12:00:00-04:00,257.6499939,256.6400146,256.7099915,256.7099915,198041
7/5/2022,12:05:00-04:00,257.3299866,256.5599976,257.2999878,257.2999878,146734
7/5/2022,12:10:00-04:00,257.7200012,257.0599976,257.2600098,257.2600098,185554
7/5/2022,12:15:00-04:00,257.4899902,256.769989,257.4349976,257.4349976,234506
7/5/2022,12:20:00-04:00,258.2200012,257.1700134,258.2200012,258.2200012,183197
7/5/2022,12:25:00-04:00,258.4500122,258.0400085,258.25,258.25,154736
7/5/2022,12:30:00-04:00,258.5499878,258.1900024,258.3900146,258.3900146,163008
